"Tên","Thuộc cột","Thuộc hàng","Thời gian xét"
"DUNOCK(152)","O","180","Cuối kì"
"DUNODK(152)","AL","180","Đầu kì"
"DUNOCK(153)","O","181",""
"DUNODK(153)","AL","181",""
"DUNOCK(154)","O","182",""
"DUNODK(154)","AL","182",""
"DUNOCK(155)","O","183",""
"DUNODK(155)","AL","183",""
"DUNOCK(156) - DUNOCK(1567)","O","184",""
"DUNODK(156) - DUNODK(1567)","AL","184",""
"DUNOCK(157)","O","185",""
"DUNODK(157)","AL","185",""
"DUNOCK(158)","O","186",""
"DUNODK(158)","AL","186",""
"DUNOCK(1567)","O","187",""
"DUNODK(1567)","AL","187",""
"DUNODK(2131)","E","244",""
"DUNODK(2132)","I","244",""
"DUNODK(2133)","R","244",""
"DUNODK(2134)","Y","244",""
"DUNODK(2135)","AD","244",""
"DUNODK(2136)","AM","244",""
"DUNODK(213)","BD","244",""
"PhatsinhDU(2131/11) + PhatsinhDU(2131/331) + PhatsinhDU(2131/341)","E","245",""
"PhatsinhDU(2132/11) + PhatsinhDU(2132/331) + PhatsinhDU(2132/341)","E","245",""
"PhatsinhDU(2132/11) + PhatsinhDU(2132/331) + PhatsinhDU(2132/341)","I","245",""
"PhatsinhDU(2133/11) + PhatsinhDU(2133/331) + PhatsinhDU(2133/341)","R","245",""
"PhatsinhDU(2134/11) + PhatsinhDU(2134/331) + PhatsinhDU(2134/341)","Y","245",""
"PhatsinhDU(2135/11) + PhatsinhDU(2135/331) + PhatsinhDU(2135/341)","AD","245",""
"PhatsinhDU(2136/11) + PhatsinhDU(2136/331) + PhatsinhDU(2136/341)","AM","245",""
"PhatsinhDU(213/11) + PhatsinhDU(213/331) + PhatsinhDU(213/341)","BD","245",""
"PhatsinhDU(2131/241) + PhatsinhDU(2131/136)","E","246",""
"PhatsinhDU(2132/241) + PhatsinhDU(2132/136)","I","246",""
"PhatsinhDU(2133/241) + PhatsinhDU(2133/136)","R","246",""
"PhatsinhDU(2134/241) + PhatsinhDU(2134/136)","Y","246",""
"PhatsinhDU(2135/241) + PhatsinhDU(2135/136)","AD","246",""
"PhatsinhDU(2136/241) + PhatsinhDU(2136/136)","AM","246",""
"PhatsinhDU(213/241) + PhatsinhDU(213/136)","BD","246",""
"PhatsinhDU(2131/711) + PhatsinhDU(2131/411)","E","248",""
"PhatsinhDU(2132/711) + PhatsinhDU(2132/411)","I","248",""
"PhatsinhDU(2133/711) + PhatsinhDU(2133/411)","R","248",""
"PhatsinhDU(2134/711) + PhatsinhDU(2134/411)","Y","248",""
"PhatsinhDU(2135/711) + PhatsinhDU(2135/411)","AD","248",""
"PhatsinhDU(2136/711) + PhatsinhDU(2136/411)","AM","248",""
"PhatsinhDU(213/711) + PhatsinhDU(213/411)","BD","248",""
" - PhatsinhDU(811/2131) - PhatsinhDU(2143/2131)","E","249",""
" - PhatsinhDU(811/2132) - PhatsinhDU(2143/2132)","I","249",""
" - PhatsinhDU(811/2133) - PhatsinhDU(2143/2133)","R","249",""
"'- PhatsinhDU(811/2134) - PhatsinhDU(2143/2134)","Y","249",""
"'- PhatsinhDU(811/2135) - PhatsinhDU(2143/2135)","AD","249",""
" - PhatsinhDU(811/2136) - PhatsinhDU(2143/2136)","AM","249",""
"'- PhatsinhDU(811/213) - PhatsinhDU(2143/213)","BD","249",""
"DUNOCK(2131)","E","251",""
"DUNOCK(2132)","I","251",""
"DUNOCK(2133)","R","251",""
"DUNOCK(2134)","Y","251",""
"DUNOCK(2135)","AD","251",""
"DUNOCK(2136)","AM","251",""
"DUNOCK(213)","BD","251",""
"DUNODK(2111)","G","213",""
"DUNODK(2112)","L","213",""
"DUNODK(2113)","T","213",""
"DUNODK(2114)","AC","213",""
"DUNODK(2115)","AK","213",""
"DUNODK(2118)","AS","213",""
"DUNODK(211)","BC","213",""
"PhatsinhDU(2111/11) + PhatsinhDU(2111/331) + PhatsinhDU(2111/341) + PhatsinhDU(2111/136)","G","214",""
"PhatsinhDU(2112/11) + PhatsinhDU(2112/331) + PhatsinhDU(2112/341) + PhatsinhDU(2112/136)","L","214",""
"PhatsinhDU(2113/11) + PhatsinhDU(2113/331) + PhatsinhDU(2113/341) + PhatsinhDU(2113/136)","T","214",""
"PhatsinhDU(2114/11) + PhatsinhDU(2114/331) + PhatsinhDU(2114/341) + PhatsinhDU(2114/136)","AC","214",""
"PhatsinhDU(2115/11) + PhatsinhDU(2115/331) + PhatsinhDU(2115/341) + PhatsinhDU(2115/136)","AK","214",""
"PhatsinhDU(2118/11) + PhatsinhDU(2118/331) + PhatsinhDU(2118/341) + PhatsinhDU(2118/136)","AS","214",""
"PhatsinhDU(211/11) + PhatsinhDU(211/331) + PhatsinhDU(211/341) + PhatsinhDU(211/136)","BC","214",""
"PhatsinhDU(2111/241)","G","125",""
"PhatsinhDU(2112/241)","L","215",""
"PhatsinhDU(2113/241)","T","215",""
"PhatsinhDU(2114/241)","AC","215",""
"PhatsinhDU(2115/241)","AK","215",""
"PhatsinhDU(2118/241)","AS","215",""
"PhatsinhDU(211/241)","BC","215",""
"PhatsinhDU(2111/711) + PhatsinhDU(2111/411)","G","216",""
"PhatsinhDU(2112/711) + PhatsinhDU(2112/411)","L","216",""
"PhatsinhDU(2113/711) + PhatsinhDU(2113/411)","T","216",""
